id,title,title_en,date,date_type,description,url
gF7BRae2j6E,Bajo el cielo de San Pedro Mártir,Under the skies of San Pedro Mártir,2026-06-12,YouTube publication date,"Con Leidy Johana Contreras, Maria Alejandra Lemus, Eduardo Delgadillo",https://www.youtube.com/watch?v=gF7BRae2j6E
Kk3K9EIWdVQ,El Gran encuentro: La conjunción Venus - Júpiter,The great encounter: the Venus–Jupiter conjunction,2026-06-05,YouTube publication date,Invitado_  Jonhatan Bernal (Profesor Adjunto del OAN),https://www.youtube.com/watch?v=Kk3K9EIWdVQ
ffvY_1GqpJs,Ingeniería en la detección de asteroides,Engineering in asteroid detection,2026-05-29,YouTube publication date,Invitado: Juan Diego Rodríguez Cruz,https://www.youtube.com/watch?v=ffvY_1GqpJs
yR_jmUKSxVg,Una aventura por el Universo: estrategia museográfica itinerante del Museo de la Ciencia y el Juevo,An adventure through the universe: a travelling museum experience from the Museum of Science and Play,2026-05-22,YouTube publication date,Wilson Camilo Sarmiento Caro,https://www.youtube.com/watch?v=yR_jmUKSxVg
8VQZPadhbxg,La Luis Angel en un click,"The Luis Ángel Arango Library, one click away",2026-05-15,YouTube publication date,Invitado: Personal de apoyo de la Biblioteca Luis Angel Arango,https://www.youtube.com/watch?v=8VQZPadhbxg
Syagimzi1Xw,"Jueves Bajo Las Estrellas: isleIA, el nuevo agente IA del Observatorio Astronómico Nacional","Thursdays under the Stars: isleIA, the Observatory’s new AI agent",2026-05-07,YouTube publication date,"Invitados:
Johnatan Bernal
Hernán Guerrero 
Joar Buitrago
Juan Esteban Agudelo
Santiago Vargas",https://www.youtube.com/watch?v=Syagimzi1Xw
pEtVwFOxcUI,"¿Miramos Arriba?  Asteroides:; ciencia, riesgo y percepción","Are we looking up? Asteroids: science, risk and perception",2026-05-01,YouTube publication date,Invitado: Sebastian Rueda Blanco,https://www.youtube.com/watch?v=pEtVwFOxcUI
JJjHZlcVwx8,Secretos de la fotografía espacial dentro de la misión Artemis II,Secrets of space photography on the Artemis II mission,2026-04-24,YouTube publication date,Invitado: Andrés Molina,https://www.youtube.com/watch?v=JJjHZlcVwx8
fMK83vD9ok4,El Regreso a la Luna,Returning to the Moon,2026-04-17,YouTube publication date,Invitado: Jose Gregorio Portilla (0AN),https://www.youtube.com/watch?v=fMK83vD9ok4
qxdNFeWQDSA,Cielos de Chile: Un viaje por el Universo desde los cielos mas pristinos del planeta,Chilean skies: a journey through the universe from some of the planet’s most pristine skies,2026-04-10,YouTube publication date,Invitado: Diego Garcia Sanchez,https://www.youtube.com/watch?v=qxdNFeWQDSA
HrGgNHAgrlo,Sobre los agujeros negros supermasivos y otros enigmas,Supermassive black holes and other mysteries,2025-12-05,YouTube publication date,Invitado: Sebatian Rueda Blanco,https://www.youtube.com/watch?v=HrGgNHAgrlo
bpT9OrXVtQw,Midiendo el campo Geomagnético desde Colombia,Measuring the geomagnetic field from Colombia,2025-11-28,YouTube publication date,"Invitada: María Rosa Alva, IGAC",https://www.youtube.com/watch?v=bpT9OrXVtQw
c06LN7j-BeQ,Astrometeorología y exploración espacial,Space weather and space exploration,2025-11-21,YouTube publication date,Invitado: Cristian Goez,https://www.youtube.com/watch?v=c06LN7j-BeQ
xVCXw7YqAbo,Camille Flammarion y su huella en Colombia,Camille Flammarion and his legacy in Colombia,2025-11-14,YouTube publication date,Invitados: Santiago Vargas y Freddy Moreno,https://www.youtube.com/watch?v=xVCXw7YqAbo
0fwqfvOWKos,Pigmentos endolíticos terrestres ¿Podrían Existir en Marte?,Terrestrial endolithic pigments: could they exist on Mars?,2025-11-07,YouTube publication date,Invitado: Julian Corzo,https://www.youtube.com/watch?v=0fwqfvOWKos
OVq83A_Ekmw,Ecos del mas allá,Echoes from beyond,2025-10-31,YouTube publication date,Invitado: Cúmulo Bogotá,https://www.youtube.com/watch?v=OVq83A_Ekmw
1sLYupd0_wg,Reconstruyendo un Jardín Histórico,Reconstructing a historic garden,2025-10-24,YouTube publication date,"Invitados: Jardín Botánico de Bogotá, Juan Alexis Acero, Lizzie Katherine Cordon, Elizabeth Herrera, Julio Cesar Palacios, Richard Javier Quitián.",https://www.youtube.com/watch?v=1sLYupd0_wg
q8xBj5lXVBQ,"Mas allá de la atmósfera, el desafío del derecho espacial",Beyond the atmosphere: the challenge of space law,2025-10-17,YouTube publication date,Invitado: Nicolás Cortés,https://www.youtube.com/watch?v=q8xBj5lXVBQ
iiGP-MXbgGM,"Colombia en la Luna, de la investigación a la exploración",Colombia on the Moon: from research to exploration,2025-10-10,YouTube publication date,Invitado: Eduardo Andres Delgadillo,https://www.youtube.com/watch?v=iiGP-MXbgGM
