recurso,url,consulta
Maestría en Ciencias – Astronomía,https://ciencias.bogota.unal.edu.co/estudiar_en_la_facultad/posgrados/maestrias/astronomia/,2026-09-16
Área Curricular de Astronomía,https://ciencias.bogota.unal.edu.co/areas_curriculares/astronomia/,2026-09-16
Directorio docente oficial del OAN,https://ciencias.bogota.unal.edu.co/directorio_docente/observatorio_astronomico_nacional/,2026-09-16
"Astronomía, Astrofísica y Cosmología",https://ciencias.bogota.unal.edu.co/grupos_de_investigacion/astronomia/astronomia_astrofisica_y_cosmologia/,2026-09-16
"Astronomía Galáctica, Gravitación y Cosmología",https://ciencias.bogota.unal.edu.co/grupos_de_investigacion/astronomia/astronomia_galactica_gravitacion_y_cosmologia/,2026-09-16
"AGNs, Análisis Numérico y Simulación en Paralelo",https://ciencias.bogota.unal.edu.co/grupos_de_investigacion/astronomia/agss_analisis_numerico_y_simulacion_en_paralelo/,2026-09-16
Grupo Patrimonio OAN,https://ciencias.bogota.unal.edu.co/grupos_de_investigacion/astronomia/patrimonio_observatorio_astronomico_nacional/,2026-09-16
Grupos de investigación de Astronomía,https://ciencias.bogota.unal.edu.co/grupos_de_investigacion/astronomia/,2026-09-16
Diez años de investigación solar con GoSA — Revista ACCEFyN,https://raccefyn.co/index.php/raccefyn/article/view/el-grupo-de-astrofisica-solar-gosa-del-observatorio-astronomico-,2026-09-16
Cúpula grande — ficha del laboratorio,https://ciencias.bogota.unal.edu.co/laboratorios/observatorio_astronomico_nacional/observacion_astronomica_cupula_grande/,2026-09-16
Cúpula pequeña — ficha del laboratorio,https://ciencias.bogota.unal.edu.co/laboratorios/observatorio_astronomico_nacional/observacion_astronomica_cupula_pequena/,2026-09-16
Fotografía · Cuarto oscuro — ficha del laboratorio,https://ciencias.bogota.unal.edu.co/laboratorios/observatorio_astronomico_nacional/fotografia_cuarto_oscuro/,2026-09-16
El telescopio de Rodolfo Llinás llega a una nueva etapa — EL TIEMPO,https://www.eltiempo.com/vida/ciencia/el-telescopio-de-rodolfo-llinas-ya-opera-en-la-universidad-nacional-asi-potenciara-la-investigacion-astronomica-3538709,2026-09-16
